employee_id,first_name,last_name,street_address,phone_number
89,Robinia,David,8229 Maple Crossing,307-110-8131
90,Cleo,Sahnow,6 Orin Drive,
91,Kareem,Well,016 Caliangt Street,944-477-5057
92,Guntar,Ciementini,8 Dunning Junction,407-938-9181
93,Garner,Mattacks,4 Dawn Trail,995-676-4584
94,Mason,Lewton,5 Manley Way,411-740-9062
95,Olivie,Scattergood,29 Annamark Avenue,567-286-3447
96,Tiphani,holmes,8353 Starling Crossing,966-412-4548
97,Wright,Van der Son,49 Washington Court,658-966-7263
98,Gardner,Widdall,35594 Johnson Trail,960-293-5660
99,Marlin,Rickaert,199 Fulton Plaza,159-918-3752
100,Kylen,Smitherman,63668 American Ash Terrace,451-350-9463
